Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
210573,OIE,8.92,7.56,Africa,Nigeria,Nassarawa,Municipal,Exact,2/5/2016,2/9/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",512,3,3,509,0,,,,
225440,OIE,45.74,15.05,Europe,Slovenia,Jugovzodna Slovenija,Municipality Of Dolenjske Toplice,Exact,2/9/2017,3/22/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,1,1,0,0,,,,
225441,OIE,46.57,15.03,Europe,Slovenia,Koroska,Municipality Of Dravograd,Exact,2/16/2017,3/22/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, mallard",,1,1,0,0,,,,
225437,OIE,46.56,15.84,Europe,Slovenia,Podravska,Municipality Of Lenart,Exact,2/3/2017,3/22/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,4,4,0,0,,,,
225541,OIE,46.52,16.49,Europe,Slovenia,Pomurska,Municipality Of Lendava,Exact,1/28/2017,3/22/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor), wild, greater white-fronted goose)",,190,190,0,0,,0,,
223579,National authorities,-5.64,105.54,Asia,Indonesia,Lampung,Munjuk Sempurna,Exact,1/24/2017,1/24/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,32,,,,,,
217693,FAO Field Officer,-2.06,105.16,Asia,Indonesia,Bangka Belitung,Muntok,Unknown,,10/12/2016,Confirmed,Influenza - Avian,HPAI,"domestic, chicken",,,,,,,0,,
210726,National authorities,37.41,121.59,Asia,China,Shandong Sheng,Muping District,Centroid Admin2,2/10/2016,2/19/2016,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,,,1,1
226484,OIE,38.22,139.48,Asia,Japan,Niigata,Murakami-Shi,Exact,1/1/2017,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, peregrine falcon",,1,1,0,0,,,,
224404,OIE,46.48,16.61,Europe,Hungary,Zala,Muraszemenye,Exact,2/14/2017,2/28/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,1,1,0,0,,,,
223058,OIE,59.03,18.21,Europe,Sweden,Stockholms Laen,Muska,Exact,1/26/2017,1/28/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",32,4,4,28,0,,,,
226417,OIE,41.29,141.18,Asia,Japan,Aomori,Mutsu-Shi,Exact,12/12/2016,4/18/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, whooper swan",,1,1,0,0,,,,
222730,OIE,45.37,16.79,Europe,Croatia,Sisak-Moslavina,Muzilovcica,Unknown,12/29/2016,1/24/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,3,3,0,0,,,,
206862,OIE,10.09,105.96,Asia,Viet Nam,Vinh Long,My Loc,Exact,8/24/2015,8/31/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",1550,1550,1009,541,0,,,,
223962,OIE,9.62,105.78,Asia,Viet Nam,Soc Trang,My Loi,Unknown,2/14/2017,2/21/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",945,500,300,645,0,,,,
224287,OIE,10.31,105.21,Asia,Viet Nam,An Giang,My Phu Dong,Exact,2/14/2017,2/23/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",80,50,30,50,0,,,,
207533,OIE,10.11,105.83,Asia,Viet Nam,Vinh Long,My Thuan,Exact,9/6/2015,9/24/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",1490,940,940,550,0,,,,
207484,OIE,10.11,105.83,Asia,Viet Nam,Vinh Long,"My Thuan, Binh Tan",Exact,9/6/2015,9/22/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",1490,940,940,550,0,,,,
223938,OIE,46.96,32.04,Europe,Ukraine,Mykolayivs'Ka,Mykolayiv City,Unknown,2/14/2017,2/17/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"captive,indian peafowl (pavo cristatus))",931,10,10,0,0,,0,,
209863,WHO,24.63,90.27,Asia,Bangladesh,Dhaka,Mymensing District,Exact,,12/14/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
222318,OIE,45.58,29.46,Europe,Ukraine,Odes'Ka,Myrne,Exact,1/3/2017,1/12/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",10251,1099,1099,9152,0,,,,
219846,National authorities,31.13,31.30,Africa,Egypt,Dakahlia,Nabarouh,Centroid Admin2,11/6/2016,11/8/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,14,,14,,,,,
226624,National authorities,-8.71,120.97,Asia,Indonesia,Nusatenggara Timur,Nabelena,Exact,3/2/2017,3/2/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,30,,,,,,
226623,National authorities,-8.71,120.97,Asia,Indonesia,Nusatenggara Timur,Nabelena,Exact,3/2/2017,3/2/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,60,,,,,,
211863,National authorities,33.87,36.14,Asia,Lebanon,Bekaa,Nabi Sheet,Exact,4/20/2016,4/21/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",80000,20000,20000,60000,,,,,
221145,EC,42.65,23.36,Europe,Bulgaria,Sofia-City,Nackyard - Doganovo,Centroid Admin1,12/20/2016,12/22/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken, domestic, goose, domestic, duck, domestic, turkey, domestic, pigeon",,352,,352,,,,,
